Feature,RF_Importance,LGB_Importance,GB_Importance,Avg_Importance
distance_from_expanding_min,0.9852200264018982,445,0.6047448195507202,148.86332161531755
day_of_week,0.0,372,0.0020623384708292635,124.00068744615693
days_since_start,0.0007554746648526113,335,0.02846855751407824,111.67640801072632
balance_pct_of_expanding_max,7.999000790846309e-08,210,0.025691111907646762,70.00856373063255
balance_expanding_std,0.0006533245286771536,187,0.011021616788572483,62.33722498043909
balance_vs_ma30,0.0,154,0.024634296047750633,51.341544765349255
decay_change,0.0,151,0.006626897451552342,50.33554229915052
balance_expanding_mean,0.00047111680800200563,119,0.009929731514802054,39.6701336161076
balance_vs_ma90,1.623831696132989e-05,116,0.023642437279705164,38.67455289186555
month,0.0,100,0.0012299329053917795,33.333743310968465
balance_std30,0.0,93,0.006135646807140924,31.00204521560238
decay_ma30,1.2624535586080486e-06,91,0.010850379995126887,30.3369505474829
balance_std90,4.996501154309413e-05,86,0.01946217300083411,28.673170712670792
volatility_coef_90d,0.00013072052743358568,86,0.0160192883004616,28.67205000294263
daily_decay_rate,0.0,78,0.012975427544981336,26.004325142514997
decay_std30,0.0,77,0.013182821131163936,25.671060940377057
inflow_outflow_ratio,0.0,76,0.005966544954784703,25.335322181651595
outflow_std30,2.1929738586680145e-07,72,0.010654155651136605,24.003551458316178
inflow_ma30,0.0,71,0.012276516885739164,23.670758838961913
balance_ma30,0.008834882280179167,70,0.013932206642186423,23.340922362974123
outflow_ma30,0.0,68,0.011394132511724164,22.67046471083724
volatility_coef_30d,0.0,60,0.01929652708184282,20.00643217569395
net_flow_pct,0.0,57,0.006809223892501078,19.0022697412975
decay_ma90,1.371563367633136e-05,56,0.01118528169197153,18.670399665775218
balance_ma90,0.0013511905913489845,49,0.013922488139253895,16.33842455957687
balance_max30,0.001184719292611019,46,0.07183908696373163,15.357674602085448
balance_min30,0.0,42,0.0046552840097215985,14.001551761336573
balance_expanding_max,0.0013170642018641178,24,0.00023610382413998847,8.000517722675335
year,0.0,24,0.0,8.0
is_quarter_end,0.0,8,9.941213647999528e-05,2.6666998040454932
is_month_end,0.0,6,0.00027609461540580515,2.0000920315384687
is_year_end,0.0,3,0.00019882427295999055,1.0000662747576532
is_business_day,0.0,0,0.0002273592380608831,7.578641268696103e-05
is_weekend,0.0,0,0.0002273592380607597,7.57864126869199e-05
quarter,0.0,0,0.0001259220395413272,4.19740131804424e-05
balance_expanding_min,0.0,0,0.0,0.0
