Bucket,Start_Days,End_Days,Midpoint_Years,S(t_start),S(t_end),Marginal_Decay,Core_CF,Non_Core_CF,Total_CF,CF_Percent
O/N,0,1,0.0027397260273972603,1.0,1.0,0.0,0.0,3065.331089785541,3065.331089785541,16.434589330408475
1M,1,30,0.0417,1.0,0.8818450023638388,0.11815499763616122,1841.607950889293,0.0,1841.607950889293,9.873670900130428
2M,30,60,0.125,0.8818450023638388,0.8670176299790112,0.014827372384827564,231.1049673817415,0.0,231.1049673817415,1.2390554624890762
3M,60,90,0.2083,0.8670176299790112,0.8472719298842176,0.019745700094793595,307.7638611819348,0.0,307.7638611819348,1.6500575373800193
6M,90,180,0.375,0.8472719298842176,0.8449006108204274,0.002371319063790178,36.96026515458046,0.0,36.96026515458046,0.19816025139425755
9M,180,270,0.625,0.8449006108204274,0.7657180514658745,0.07918255935455298,1234.1689627733451,0.0,1234.1689627733451,6.616923090332525
1Y,270,365,0.875,0.7657180514658745,0.7330757674140038,0.03264228405187064,508.7748385406748,0.0,508.7748385406748,2.7277658719880282
2Y,365,730,1.5,0.7330757674140038,0.685020282812528,0.048055484601475795,749.010742638538,0.0,749.010742638538,4.015776305648557
3Y,730,1095,2.5,0.685020282812528,0.6802425067047546,0.004777776107773413,74.46820400046757,0.0,74.46820400046757,0.39925682253344785
4Y,1095,1460,3.5,0.6802425067047546,0.5477085399992082,0.1325339667055464,2065.7239366160507,0.0,2065.7239366160507,11.075255355418957
5Y,1460,1825,4.5,0.5477085399992082,0.4652877030974298,0.08242083690177843,8536.789997986572,0.0,8536.789997986572,45.76948907227623
