Bucket,Midpoint (Years),Cash Flow,Percentage (%)
O/N,0.0027397260273972603,3065.331089785541,16.434589330408475
1M,0.0417,1841.607950889293,9.873670900130428
2M,0.125,231.1049673817415,1.2390554624890762
3M,0.2083,307.7638611819348,1.6500575373800193
6M,0.375,36.96026515458046,0.19816025139425755
9M,0.625,1234.1689627733451,6.616923090332525
1Y,0.875,508.7748385406748,2.7277658719880282
2Y,1.5,749.010742638538,4.015776305648557
3Y,2.5,74.46820400046757,0.39925682253344785
4Y,3.5,2065.7239366160507,11.075255355418957
5Y,4.5,8536.789997986572,45.76948907227623
