Tenor,Days,Years,S(t),S(t) %,1 - S(t),Cumulative Decay %
1D,1,0.0027397260273972603,0.981447788768573,98.1447788768573,0.01855221123142703,1.855221123142703
1M,30,0.0821917808219178,0.5701853128223442,57.01853128223442,0.4298146871776558,42.98146871776558
2M,60,0.1643835616438356,0.3251112909583145,32.51112909583145,0.6748887090416855,67.48887090416855
3M,90,0.2465753424657534,0.1853736831371427,18.53736831371427,0.8146263168628574,81.46263168628573
6M,180,0.4931506849315068,0.03436340239982978,3.4363402399829783,0.9656365976001702,96.56365976001702
9M,270,0.7397260273972602,0.006370070467980174,0.6370070467980173,0.9936299295320198,99.36299295320198
1Y,365,1.0,0.0010752967172530162,0.10752967172530162,0.998924703282747,99.8924703282747
2Y,730,2.0,1.156263030135113e-06,0.0001156263030135113,0.9999988437369699,99.99988437369699
3Y,1095,3.0,1.2433258405853121e-09,1.2433258405853123e-07,0.9999999987566741,99.99999987566741
4Y,1460,4.0,1.3369441948572331e-12,1.336944194857233e-10,0.9999999999986631,99.9999999998663
5Y,1825,5.0,1.4376117038804594e-15,1.4376117038804594e-13,0.9999999999999986,99.99999999999986
